id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-23,20,5.8,4,100,78.0,0,1015.8
12600,Bielsko Biała,2025-03-23,20,12.6,8,170,67.4,0,1007.6
12235,Chojnice,2025-03-23,20,8.7,4,80,51.7,0.01,1011.8
12550,Częstochowa,2025-03-23,20,7.5,3,70,97.3,0,1008.4
12160,Elbląg,2025-03-23,20,6.6,6,80,55.5,0,1014.1
12155,Gdańsk,2025-03-23,20,8.8,6,90,50.6,0,1013.7
12300,Gorzów,2025-03-23,20,10.9,2,90,62.5,0,1009.3
12135,Hel,2025-03-23,20,6,5,80,72.6,0,1014.6
12500,Jelenia Góra,2025-03-23,20,6.8,0,0,88.8,0,1008.6
12435,Kalisz,2025-03-23,20,7.3,5,60,95.9,0,1009
12650,Kasprowy Wierch,2025-03-23,20,-0.1,9,210,100.0,0.1,
12560,Katowice,2025-03-23,20,9.4,2,220,89.6,0,1008.7
12185,Kętrzyn,2025-03-23,20,6.4,3,70,58.9,0,1015
12570,Kielce,2025-03-23,20,7.8,2,120,94.6,0,1009.5
12520,Kłodzko,2025-03-23,20,6.2,1,190,93.9,0,1008.4
12345,Koło,2025-03-23,20,7.2,4,90,85.8,0,1010.5
12100,Kołobrzeg,2025-03-23,20,7.3,3,80,72.9,0.01,1010.9
12105,Koszalin,2025-03-23,20,10.2,3,90,50.6,0.01,1011.5
12488,Kozienice,2025-03-23,20,5.7,3,80,99.3,0,1011.4
12566,Kraków,2025-03-23,20,8.1,2,40,94.0,0,1008.8
12670,Krosno,2025-03-23,20,9.8,4,160,78.6,0.01,1011.5
12415,Legnica,2025-03-23,20,8.9,1,20,92.7,0,1008.3
12690,Lesko,2025-03-23,20,9.6,3,180,69.7,0.1,1011.9
12418,Leszno,2025-03-23,20,8.1,4,70,94.0,0,1008.9
12125,Lębork,2025-03-23,20,7.1,3,70,64.9,0.1,1013.4
12495,Lublin,2025-03-23,20,5.7,3,140,97.2,0,1011.7
12120,Łeba,2025-03-23,20,7.9,4,100,58.8,0,1013.6
12465,Łódź,2025-03-23,20,6.4,5,80,95.2,0,1009.9
12280,Mikołajki,2025-03-23,20,6.6,4,80,60.7,0,1014.8
12270,Mława,2025-03-23,20,7.8,3,80,58.8,0,1012.6
12660,Nowy Sącz,2025-03-23,20,11,3,200,64.8,0,1010.2
12272,Olsztyn,2025-03-23,20,6.8,3,80,56.8,0.1,1013.9
12530,Opole,2025-03-23,20,8.9,2,30,96.0,0,1007.1
12285,Ostrołęka,2025-03-23,20,8,4,110,59.7,0,1013.8
12230,Piła,2025-03-23,20,11.2,4,120,53.5,0,1010.3
12001,Platforma,2025-03-23,20,,13,110,,0,
12360,Płock,2025-03-23,20,7.8,4,120,77.8,0,1011.4
12330,Poznań,2025-03-23,20,8.7,6,90,79.6,0,1009.6
12695,Przemyśl,2025-03-23,20,7.4,2,99,92.0,0,1012.1
12540,Racibórz,2025-03-23,20,9,2,80,92.7,0,1008
12210,Resko,2025-03-23,20,10.2,2,60,54.8,0.01,1010.3
12580,Rzeszów,2025-03-23,20,8,4,100,92.0,0.01,1010.9
12585,Sandomierz,2025-03-23,20,7.1,3,120,95.9,0,1010.5
12385,Siedlce,2025-03-23,20,5.1,3,90,93.8,0,1013.4
12310,Słubice,2025-03-23,20,11,2,130,71.5,0,1008.8
12469,Sulejów,2025-03-23,20,6.4,2,60,95.2,0,1009.7
12195,Suwałki,2025-03-23,20,6.3,5,90,67.6,0.01,1016.9
12205,Szczecin,2025-03-23,20,10.6,2,30,60.7,0,1009.8
12215,Szczecinek,2025-03-23,20,9.6,5,110,49.7,0,1011.2
12510,Śnieżka,2025-03-23,20,2.1,4,310,91.0,0,
12200,Świnoujście,2025-03-23,20,6.8,1,40,81.6,0,1010.5
12575,Tarnów,2025-03-23,20,11,3,170,73.5,0,1009.4
12399,Terespol,2025-03-23,20,4.7,5,100,93.2,0,1014.9
12250,Toruń,2025-03-23,20,10,4,80,58.4,0,1011.2
12115,Ustka,2025-03-23,20,7.8,3,90,58.8,0,1012.7
12375,Warszawa,2025-03-23,20,5.8,6,90,93.2,0,1012
12455,Wieluń,2025-03-23,20,7.9,3,100,98.0,0,1008.4
12497,Włodawa,2025-03-23,20,5,5,120,97.9,0,1014
12424,Wrocław,2025-03-23,20,9.5,1,20,92.8,0,1008
12625,Zakopane,2025-03-23,20,8.7,4,160,69.5,0,
12595,Zamość,2025-03-23,20,6.4,4,130,95.2,0,1012.9
12400,Zielona Góra,2025-03-23,20,8.3,2,80,94.0,0,1008.9
