id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-23,18,8.5,5,100,54.8,0,1016.2
12600,Bielsko Biała,2025-03-23,18,13.1,8,170,61.7,0,1007
12235,Chojnice,2025-03-23,18,10.5,4,80,46.4,0.01,1012
12550,Częstochowa,2025-03-23,18,7.6,3,70,95.9,0,1008.7
12160,Elbląg,2025-03-23,18,8.1,5,90,52.7,0,1014.6
12155,Gdańsk,2025-03-23,18,9.8,5,90,51.6,0,1014.1
12300,Gorzów,2025-03-23,18,11.8,3,80,56.4,0,1008.9
12135,Hel,2025-03-23,18,6.7,6,80,70.7,0,1014.9
12500,Jelenia Góra,2025-03-23,18,8,1,320,84.6,0,1007.7
12435,Kalisz,2025-03-23,18,7.5,5,70,95.3,0,1009.2
12650,Kasprowy Wierch,2025-03-23,18,-0.3,13,160,100.0,0.1,
12560,Katowice,2025-03-23,18,9,1,100,92.1,0,1008
12185,Kętrzyn,2025-03-23,18,7.9,3,90,51.5,0,1016
12570,Kielce,2025-03-23,18,7.6,3,110,94.6,0,1010.2
12520,Kłodzko,2025-03-23,18,7.6,2,20,90.1,0,1007.9
12345,Koło,2025-03-23,18,8.6,5,90,74.7,0,1010.7
12100,Kołobrzeg,2025-03-23,18,11.4,2,140,50.6,0.01,1010.7
12105,Koszalin,2025-03-23,18,12.1,2,90,45.5,0.01,1011.2
12488,Kozienice,2025-03-23,18,5.5,3,90,97.2,0,1012.4
12566,Kraków,2025-03-23,18,9.3,3,30,92.1,0,1008.9
12670,Krosno,2025-03-23,18,9.8,6,170,79.7,0.01,1011.5
12415,Legnica,2025-03-23,18,9.3,1,60,92.1,0,1007.8
12690,Lesko,2025-03-23,18,9.2,3,130,76.9,0.1,1012.2
12418,Leszno,2025-03-23,18,9,3,60,94.7,0,1008.5
12125,Lębork,2025-03-23,18,8,4,60,61.9,0.1,1013.6
12495,Lublin,2025-03-23,18,5.2,4,120,97.2,0,1012.7
12120,Łeba,2025-03-23,18,8.9,6,90,56.5,0,1013.7
12465,Łódź,2025-03-23,18,6.7,6,90,92.6,0,1010.2
12280,Mikołajki,2025-03-23,18,7.3,4,70,54.5,0,1015.8
12270,Mława,2025-03-23,18,10.3,4,80,47.8,0,1012.9
12660,Nowy Sącz,2025-03-23,18,10.7,3,200,69.4,0,1010.2
12272,Olsztyn,2025-03-23,18,8.8,6,90,47.7,0.1,1014.5
12530,Opole,2025-03-23,18,9.2,2,40,94.7,0,1007.5
12285,Ostrołęka,2025-03-23,18,10.4,4,99,49.2,0,1013.9
12230,Piła,2025-03-23,18,12.5,3,100,45.6,0,1010.2
12001,Platforma,2025-03-23,18,,13,100,,0,
12360,Płock,2025-03-23,18,8.6,5,120,71.6,0,1011.8
12330,Poznań,2025-03-23,18,9.9,6,100,77.5,0,1009.5
12695,Przemyśl,2025-03-23,18,7,1,99,93.9,0,1012.7
12540,Racibórz,2025-03-23,18,10.9,0,0,81.5,0,1006.9
12210,Resko,2025-03-23,18,11.1,3,80,51.6,0.01,1010.2
12580,Rzeszów,2025-03-23,18,7.5,3,70,95.3,0.01,1011.6
12585,Sandomierz,2025-03-23,18,7,3,120,97.3,0,1011.2
12385,Siedlce,2025-03-23,18,5.8,4,100,85.0,0,1014.4
12310,Słubice,2025-03-23,18,11.8,3,120,63.6,0,1008.3
12469,Sulejów,2025-03-23,18,6.5,2,80,93.9,0,1010.3
12195,Suwałki,2025-03-23,18,6.6,5,80,59.8,0.01,1018
12205,Szczecin,2025-03-23,18,12.9,5,100,49.5,0,1009.4
12215,Szczecinek,2025-03-23,18,11.8,4,110,45.1,0,1011.1
12510,Śnieżka,2025-03-23,18,1.5,4,290,95.0,0,
12200,Świnoujście,2025-03-23,18,5.6,1,30,85.6,0,1010
12575,Tarnów,2025-03-23,18,11.1,4,170,74.5,0,1009.3
12399,Terespol,2025-03-23,18,5.4,4,100,90.6,0,1016.1
12250,Toruń,2025-03-23,18,11.4,3,80,48.8,0,1011.4
12115,Ustka,2025-03-23,18,9.5,4,90,53.5,0,1012.7
12375,Warszawa,2025-03-23,18,6.8,5,110,90.1,0,1012.8
12455,Wieluń,2025-03-23,18,8.2,3,90,99.3,0,1008.4
12497,Włodawa,2025-03-23,18,5.4,6,120,95.2,0,1015.2
12424,Wrocław,2025-03-23,18,9.6,2,40,92.8,0,1007.5
12625,Zakopane,2025-03-23,18,8.9,3,210,67.6,0,
12595,Zamość,2025-03-23,18,6.2,6,110,95.9,0,1013.5
12400,Zielona Góra,2025-03-23,18,8.7,2,90,87.7,0,1008.5
