id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-23,17,9.8,3,80,49.8,0,1016.1
12600,Bielsko Biała,2025-03-23,17,12.7,8,170,62.4,0,1007.1
12235,Chojnice,2025-03-23,17,11.2,4,80,42.7,0.01,1011.9
12550,Częstochowa,2025-03-23,17,8.1,3,70,94.6,0,1008.8
12160,Elbląg,2025-03-23,17,9,6,90,49.6,0,1014.5
12155,Gdańsk,2025-03-23,17,10.9,6,90,47.6,0,1013.9
12300,Gorzów,2025-03-23,17,12.3,3,100,55.7,0,1008.7
12135,Hel,2025-03-23,17,7.2,7,80,67.8,0,1014.6
12500,Jelenia Góra,2025-03-23,17,8.9,2,40,81.8,0,1007.2
12435,Kalisz,2025-03-23,17,7.8,5,70,94.0,0,1009.2
12650,Kasprowy Wierch,2025-03-23,17,-0.4,13,170,100.0,0.1,
12560,Katowice,2025-03-23,17,9.3,2,80,90.9,0,1008.1
12185,Kętrzyn,2025-03-23,17,8.8,5,100,45.6,0,1016
12570,Kielce,2025-03-23,17,7.4,3,100,95.3,0,1010.6
12520,Kłodzko,2025-03-23,17,8.1,2,330,85.9,0,1007.6
12345,Koło,2025-03-23,17,8.8,5,110,76.8,0,1011
12100,Kołobrzeg,2025-03-23,17,12.8,3,130,46.7,0.01,1010.4
12105,Koszalin,2025-03-23,17,13.6,3,90,41.5,0.01,1010.9
12488,Kozienice,2025-03-23,17,5.7,4,110,95.2,0,1012.9
12566,Kraków,2025-03-23,17,9.6,3,30,90.9,0,1008.9
12670,Krosno,2025-03-23,17,9.6,5,150,77.5,0.01,1011.6
12415,Legnica,2025-03-23,17,9.5,2,70,89.0,0,1007.6
12690,Lesko,2025-03-23,17,8.7,2,110,81.8,0.1,1012.5
12418,Leszno,2025-03-23,17,9,4,90,94.7,0,1008.6
12125,Lębork,2025-03-23,17,10.3,3,80,50.6,0.1,1013.4
12495,Lublin,2025-03-23,17,5.1,4,120,95.9,0,1013.3
12120,Łeba,2025-03-23,17,9.9,7,100,52.8,0,1013.5
12465,Łódź,2025-03-23,17,6.8,6,80,92.0,0,1010.4
12280,Mikołajki,2025-03-23,17,7.8,5,90,51.5,0,1016.1
12270,Mława,2025-03-23,17,10.7,4,80,46.5,0,1013
12660,Nowy Sącz,2025-03-23,17,11.4,2,190,66.7,0,1009.8
12272,Olsztyn,2025-03-23,17,9.9,5,90,45.6,0.1,1014.6
12530,Opole,2025-03-23,17,9.3,2,40,94.7,0,1007.5
12285,Ostrołęka,2025-03-23,17,10.6,3,99,46.8,0,1014.2
12230,Piła,2025-03-23,17,12.8,5,90,45.7,0,1010
12001,Platforma,2025-03-23,17,,13,100,,0,
12360,Płock,2025-03-23,17,9.5,6,130,63.6,0,1011.9
12330,Poznań,2025-03-23,17,11.5,5,120,67.7,0,1009.3
12695,Przemyśl,2025-03-23,17,7.1,2,99,93.3,0,1013
12540,Racibórz,2025-03-23,17,11.6,1,40,76.7,0,1006.6
12210,Resko,2025-03-23,17,12.3,3,90,47.6,0.01,1010.1
12580,Rzeszów,2025-03-23,17,7.8,6,100,94.0,0.01,1011.8
12585,Sandomierz,2025-03-23,17,6.8,4,110,97.3,0,1011.7
12385,Siedlce,2025-03-23,17,6.7,5,120,77.6,0,1014.7
12310,Słubice,2025-03-23,17,12.2,4,120,60.6,0,1008.2
12469,Sulejów,2025-03-23,17,6.6,3,80,93.9,0,1010.4
12195,Suwałki,2025-03-23,17,7.2,4,80,54.9,0.01,1018.3
12205,Szczecin,2025-03-23,17,13.3,6,100,47.5,0,1009.4
12215,Szczecinek,2025-03-23,17,12.2,5,120,44.9,0,1011
12510,Śnieżka,2025-03-23,17,3.2,7,310,99.3,0,
12200,Świnoujście,2025-03-23,17,6.1,1,360,85.1,0,1009.8
12575,Tarnów,2025-03-23,17,11.2,3,150,75.6,0,1009.4
12399,Terespol,2025-03-23,17,5.9,4,110,85.6,0,1016.6
12250,Toruń,2025-03-23,17,12.1,4,70,45.5,0,1011.2
12115,Ustka,2025-03-23,17,10.5,4,80,52.6,0,1012.5
12375,Warszawa,2025-03-23,17,8.1,7,110,75.6,0,1012.9
12455,Wieluń,2025-03-23,17,8.4,3,100,99.3,0,1008.7
12497,Włodawa,2025-03-23,17,5.5,3,90,95.9,0,1015.6
12424,Wrocław,2025-03-23,17,9.7,2,70,92.1,0,1007.6
12625,Zakopane,2025-03-23,17,9.1,4,190,65.8,0,
12595,Zamość,2025-03-23,17,5.7,5,100,95.9,0,1014.4
12400,Zielona Góra,2025-03-23,17,10.1,3,100,72.8,0,1008.2
