id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-23,19,6.8,5,100,69.7,0,1016
12600,Bielsko Biała,2025-03-23,19,13.3,8,170,61.7,0,1006.9
12235,Chojnice,2025-03-23,19,9.6,3,80,48.6,0.01,1012.1
12550,Częstochowa,2025-03-23,19,7.6,3,70,95.9,0,1008.6
12160,Elbląg,2025-03-23,19,7.3,6,90,52.5,0,1014.3
12155,Gdańsk,2025-03-23,19,9.4,6,90,50.8,0,1014
12300,Gorzów,2025-03-23,19,11.3,2,90,59.6,0,1009
12135,Hel,2025-03-23,19,6.2,5,80,73.7,0,1014.9
12500,Jelenia Góra,2025-03-23,19,7.2,0,0,87.6,0,1008.1
12435,Kalisz,2025-03-23,19,7.4,5,60,95.9,0,1008.9
12650,Kasprowy Wierch,2025-03-23,19,-0.2,8,200,100.0,0.1,
12560,Katowice,2025-03-23,19,9,1,60,92.1,0,1008.1
12185,Kętrzyn,2025-03-23,19,7.5,4,80,53.7,0,1015.4
12570,Kielce,2025-03-23,19,7.7,2,100,94.6,0,1009.8
12520,Kłodzko,2025-03-23,19,6.2,2,240,93.2,0,1008.3
12345,Koło,2025-03-23,19,7.8,4,110,81.7,0,1010.6
12100,Kołobrzeg,2025-03-23,19,7.5,3,80,74.0,0.01,1010.8
12105,Koszalin,2025-03-23,19,11.2,3,80,47.7,0.01,1011.4
12488,Kozienice,2025-03-23,19,5.5,3,90,97.9,0,1012
12566,Kraków,2025-03-23,19,8.5,3,30,92.7,0,1008.8
12670,Krosno,2025-03-23,19,9.9,3,180,78.6,0.01,1011.8
12415,Legnica,2025-03-23,19,9,1,110,92.1,0,1008.3
12690,Lesko,2025-03-23,19,9.5,3,200,74.8,0.1,1011.9
12418,Leszno,2025-03-23,19,8.7,5,70,94.0,0,1008.6
12125,Lębork,2025-03-23,19,7.3,4,60,63.5,0.1,1013.6
12495,Lublin,2025-03-23,19,5.3,3,130,97.2,0,1012.2
12120,Łeba,2025-03-23,19,8.2,5,90,59.7,0,1013.7
12465,Łódź,2025-03-23,19,6.5,5,80,93.9,0,1010
12280,Mikołajki,2025-03-23,19,7.3,4,80,57.8,0,1015.3
12270,Mława,2025-03-23,19,9,3,70,52.6,0,1012.8
12660,Nowy Sącz,2025-03-23,19,10.7,2,200,69.4,0,1010.2
12272,Olsztyn,2025-03-23,19,7.9,4,80,51.5,0.1,1014.1
12530,Opole,2025-03-23,19,9.1,3,100,96.0,0,1007.7
12285,Ostrołęka,2025-03-23,19,9.5,4,120,51.6,0,1013.9
12230,Piła,2025-03-23,19,12.1,4,100,47.5,0,1010.1
12001,Platforma,2025-03-23,19,,13,100,,0,
12360,Płock,2025-03-23,19,8.3,4,120,72.5,0,1011.6
12330,Poznań,2025-03-23,19,9,6,90,80.7,0,1009.6
12695,Przemyśl,2025-03-23,19,7.6,2,99,92.0,0,1012.4
12540,Racibórz,2025-03-23,19,9.4,3,310,92.8,0,1008.1
12210,Resko,2025-03-23,19,10.6,2,50,52.6,0.01,1010.2
12580,Rzeszów,2025-03-23,19,8.2,4,90,92.1,0.01,1011.4
12585,Sandomierz,2025-03-23,19,7,3,120,95.9,0,1010.8
12385,Siedlce,2025-03-23,19,5.2,4,90,91.9,0,1013.8
12310,Słubice,2025-03-23,19,11.6,3,110,65.8,0,1008.6
12469,Sulejów,2025-03-23,19,6.5,3,80,95.2,0,1009.9
12195,Suwałki,2025-03-23,19,6.3,5,80,63.8,0.01,1017.4
12205,Szczecin,2025-03-23,19,12.5,2,70,50.5,0,1009.6
12215,Szczecinek,2025-03-23,19,10.9,5,100,46.2,0,1011.2
12510,Śnieżka,2025-03-23,19,2.1,6,320,89.1,0,
12200,Świnoujście,2025-03-23,19,6.3,2,100,82.1,0,1010.3
12575,Tarnów,2025-03-23,19,11.2,4,180,72.5,0,1009.1
12399,Terespol,2025-03-23,19,5,5,110,91.9,0,1015.6
12250,Toruń,2025-03-23,19,10.6,4,110,56.5,0,1011.4
12115,Ustka,2025-03-23,19,8.6,3,90,56.9,0,1012.7
12375,Warszawa,2025-03-23,19,6,7,90,90.6,0,1012.4
12455,Wieluń,2025-03-23,19,8,3,110,99.3,0,1008.4
12497,Włodawa,2025-03-23,19,5,4,110,97.2,0,1014.4
12424,Wrocław,2025-03-23,19,9.7,1,30,92.8,0,1008
12625,Zakopane,2025-03-23,19,9,3,180,67.6,0,
12595,Zamość,2025-03-23,19,6.2,5,120,95.2,0,1013.1
12400,Zielona Góra,2025-03-23,19,8.3,2,100,92.7,0,1008.7
