id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-25,18,4.6,1,210,71.9,1.2,1016.7
12600,Bielsko Biała,2025-03-25,18,6.8,1,100,63.9,6.5,1018.4
12235,Chojnice,2025-03-25,18,11.6,3,290,58.8,0,1014.8
12550,Częstochowa,2025-03-25,18,10,1,60,45.6,0.01,1017.7
12160,Elbląg,2025-03-25,18,9.7,4,180,46.6,0,1014.4
12155,Gdańsk,2025-03-25,18,9.9,1,250,59.7,0,1014.1
12300,Gorzów,2025-03-25,18,12.4,3,320,56.5,0,1016.1
12135,Hel,2025-03-25,18,7.9,2,350,73.5,0,1014.4
12500,Jelenia Góra,2025-03-25,18,8.3,1,120,79.5,0,1017.4
12435,Kalisz,2025-03-25,18,10.9,2,140,67.6,0.01,1016.7
12650,Kasprowy Wierch,2025-03-25,18,-1.2,4,250,100.0,2.2,
12560,Katowice,2025-03-25,18,9,1,190,56.5,0.01,1017.8
12185,Kętrzyn,2025-03-25,18,8.2,1,190,60.6,0,1015.2
12570,Kielce,2025-03-25,18,5.3,1,40,76.8,0.1,1018.7
12520,Kłodzko,2025-03-25,18,9.9,2,230,72.8,0.01,1017.3
12345,Koło,2025-03-25,18,10,2,180,63.7,0.01,1016.4
12100,Kołobrzeg,2025-03-25,18,6.4,4,230,85.1,0,1015.8
12105,Koszalin,2025-03-25,18,5.4,2,220,90.0,0,1015.8
12488,Kozienice,2025-03-25,18,5.2,1,220,82.6,0.3,1018.1
12566,Kraków,2025-03-25,18,9.6,2,60,64.5,2,1018
12670,Krosno,2025-03-25,18,7.8,2,170,74.5,2,1019
12415,Legnica,2025-03-25,18,10.8,2,290,69.5,0,1016.8
12690,Lesko,2025-03-25,18,7,2,160,77.6,1.2,1019.4
12418,Leszno,2025-03-25,18,11.7,2,150,64.5,0,1016
12125,Lębork,2025-03-25,18,7,,,77.7,0,1015
12495,Lublin,2025-03-25,18,5.5,1,150,71.5,0.1,1018.6
12120,Łeba,2025-03-25,18,6,7,260,88.1,0,1014.8
12465,Łódź,2025-03-25,18,6.7,0,0,67.7,0.01,1017.7
12280,Mikołajki,2025-03-25,18,6.8,1,200,60.7,0,1015.7
12270,Mława,2025-03-25,18,8.2,1,330,44.8,0,1016.2
12660,Nowy Sącz,2025-03-25,18,8.2,1,150,84.1,22.1,1018.9
12272,Olsztyn,2025-03-25,18,6.8,2,200,49.7,0,1015.6
12530,Opole,2025-03-25,18,9.6,1,110,68.8,0,1017.2
12285,Ostrołęka,2025-03-25,18,6.5,1,200,68.6,0.1,1016.3
12230,Piła,2025-03-25,18,10,1,230,69.8,0,1015.2
12001,Platforma,2025-03-25,18,,9,240,,0,
12360,Płock,2025-03-25,18,9.6,3,210,61.8,0.01,1016.2
12330,Poznań,2025-03-25,18,12.9,1,270,54.7,0,1015.6
12695,Przemyśl,2025-03-25,18,8.4,1,230,67.1,1,1018.8
12540,Racibórz,2025-03-25,18,10.1,0,0,73.9,0.01,1017.3
12210,Resko,2025-03-25,18,7,4,260,84.0,0,1016.3
12580,Rzeszów,2025-03-25,18,8.5,1,230,65.7,5.4,1018.6
12585,Sandomierz,2025-03-25,18,9,2,120,53.7,0,1018.2
12385,Siedlce,2025-03-25,18,6.8,2,190,66.7,3.1,1017.7
12310,Słubice,2025-03-25,18,10.6,2,300,69.9,0.01,1016.8
12469,Sulejów,2025-03-25,18,6.8,1,150,79.9,0.5,1018
12195,Suwałki,2025-03-25,18,4.8,1,110,70.9,0,1015.9
12205,Szczecin,2025-03-25,18,7.7,2,280,74.5,0,1016.5
12215,Szczecinek,2025-03-25,18,9.1,2,99,74.2,0,1015.4
12510,Śnieżka,2025-03-25,18,1.3,6,260,82.7,0,
12200,Świnoujście,2025-03-25,18,7.1,2,230,77.7,0,1016.2
12575,Tarnów,2025-03-25,18,8.3,1,160,74.6,0.01,1018.1
12399,Terespol,2025-03-25,18,5.2,2,160,80.8,0.1,1018
12250,Toruń,2025-03-25,18,8.7,1,180,65.7,0,1015.5
12115,Ustka,2025-03-25,18,5.6,4,230,88.7,0,1015.3
12375,Warszawa,2025-03-25,18,7.6,1,190,67.9,0.01,1017.2
12455,Wieluń,2025-03-25,18,7.6,1,130,77.7,0.01,1017.6
12497,Włodawa,2025-03-25,18,4.2,1,190,86.1,0.5,1018.6
12424,Wrocław,2025-03-25,18,11.1,1,280,62.6,0,1016.6
12625,Zakopane,2025-03-25,18,7.1,0,0,82.8,4.4,
12595,Zamość,2025-03-25,18,4.4,2,210,83.7,0.2,1019.4
12400,Zielona Góra,2025-03-25,18,11.5,2,270,63.5,0,1016.3
