id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-25,15,11.6,2,260,43.4,1.2,1016.3
12600,Bielsko Biała,2025-03-25,15,12.5,2,310,50.5,6.5,1017.3
12235,Chojnice,2025-03-25,15,14.8,3,260,41.5,0,1014.4
12550,Częstochowa,2025-03-25,15,13,2,330,36.5,0.01,1017.1
12160,Elbląg,2025-03-25,15,11.1,4,200,46.6,0,1014.9
12155,Gdańsk,2025-03-25,15,13.1,6,160,47.5,0,1014.2
12300,Gorzów,2025-03-25,15,16,5,280,39.5,0,1015.1
12135,Hel,2025-03-25,15,10,4,150,62.8,0,1014.3
12500,Jelenia Góra,2025-03-25,15,13.8,2,210,51.5,0,1015.9
12435,Kalisz,2025-03-25,15,14.4,3,230,49.5,0.01,1016.4
12650,Kasprowy Wierch,2025-03-25,15,-0.2,2,290,100.0,2.2,
12560,Katowice,2025-03-25,15,14,1,260,35.4,0.01,1016.9
12185,Kętrzyn,2025-03-25,15,12.7,6,260,40.7,0,1015.2
12570,Kielce,2025-03-25,15,12.2,3,290,38.5,0.1,1017.6
12520,Kłodzko,2025-03-25,15,13.1,4,340,60.4,0.01,1016.3
12345,Koło,2025-03-25,15,14.7,4,230,44.6,0.01,1016.2
12100,Kołobrzeg,2025-03-25,15,5.1,7,280,95.2,0,1016
12105,Koszalin,2025-03-25,15,6.6,3,270,85.1,0,1015.8
12488,Kozienice,2025-03-25,15,11.8,2,330,48.5,0.3,1017.5
12566,Kraków,2025-03-25,15,13.4,2,230,48.6,2,1017.5
12670,Krosno,2025-03-25,15,10.4,1,240,62.8,2,1018.4
12415,Legnica,2025-03-25,15,15.2,2,270,43.5,0,1016.1
12690,Lesko,2025-03-25,15,9.6,2,330,66.8,1.2,1018.5
12418,Leszno,2025-03-25,15,15.7,2,170,48.5,0,1015.6
12125,Lębork,2025-03-25,15,13.1,,,56.7,0,1014.1
12495,Lublin,2025-03-25,15,9.5,1,270,54.6,0.1,1018
12120,Łeba,2025-03-25,15,8.8,5,250,77.9,0,1014.4
12465,Łódź,2025-03-25,15,12.9,4,240,47.4,0.01,1017.1
12280,Mikołajki,2025-03-25,15,11.4,2,250,45.7,0,1015.5
12270,Mława,2025-03-25,15,12.9,5,240,40.4,0,1015.7
12660,Nowy Sącz,2025-03-25,15,10.8,1,90,71.9,22.1,1018.2
12272,Olsztyn,2025-03-25,15,12.9,3,240,43.5,0,1015.2
12530,Opole,2025-03-25,15,14.9,1,130,41.5,0,1016.6
12285,Ostrołęka,2025-03-25,15,12.7,2,99,42.8,0.1,1016.1
12230,Piła,2025-03-25,15,15.5,2,260,42.6,0,1014.7
12001,Platforma,2025-03-25,15,,10,240,,0,
12360,Płock,2025-03-25,15,13.7,3,300,41.5,0.01,1015.9
12330,Poznań,2025-03-25,15,15.7,2,210,44.5,0,1015.3
12695,Przemyśl,2025-03-25,15,10.6,1,99,62.0,1,1018
12540,Racibórz,2025-03-25,15,14.3,1,100,38.5,0.01,1016.7
12210,Resko,2025-03-25,15,10.5,4,310,70.9,0,1015.6
12580,Rzeszów,2025-03-25,15,12.4,2,280,48.7,5.4,1017.8
12585,Sandomierz,2025-03-25,15,11.9,1,10,43.5,0,1017.7
12385,Siedlce,2025-03-25,15,11.4,4,90,46.7,3.1,1017.1
12310,Słubice,2025-03-25,15,15.6,4,300,48.4,0.01,1015.6
12469,Sulejów,2025-03-25,15,12.5,1,230,46.6,0.5,1017.4
12195,Suwałki,2025-03-25,15,11.8,3,260,40.7,0,1015.4
12205,Szczecin,2025-03-25,15,13.1,5,270,55.5,0,1015.9
12215,Szczecinek,2025-03-25,15,15.7,3,99,42.7,0,1014.2
12510,Śnieżka,2025-03-25,15,2.5,7,280,74.7,0,
12200,Świnoujście,2025-03-25,15,7.3,4,270,79.9,0,1016.3
12575,Tarnów,2025-03-25,15,12.1,1,150,57.7,0.01,1017.9
12399,Terespol,2025-03-25,15,10.3,2,210,54.4,0.1,1017.5
12250,Toruń,2025-03-25,15,15.5,2,230,38.5,0,1015.3
12115,Ustka,2025-03-25,15,5.5,5,260,90.0,0,1015
12375,Warszawa,2025-03-25,15,13.1,3,270,43.5,0.01,1016.9
12455,Wieluń,2025-03-25,15,13.9,1,180,44.4,0.01,1016.9
12497,Włodawa,2025-03-25,15,9.6,2,280,55.5,0.5,1017.8
12424,Wrocław,2025-03-25,15,15.6,2,230,46.4,0,1016.1
12625,Zakopane,2025-03-25,15,11,2,140,57.4,4.4,
12595,Zamość,2025-03-25,15,10.1,4,300,53.6,0.2,1018.2
12400,Zielona Góra,2025-03-25,15,14.5,3,350,55.4,0,1015.6
